;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
1;TPN;TALUMOPATU;TALUMOPATU; K1 ;BB70, BB71, BB72;2016; 29,90 ; 3.616,00 ; 1.574 ;; 2.042 ; Damimas ;;; 53 
2;TPN;TALUMOPATU;TALUMOPATU; K2 ;BB73, BB74, BB75;2016; 44,53 ; 4.269,00 ; 1.751 ;; 2.518 ; Damimas ;;; 39 
3;TPN;TALUMOPATU;TALUMOPATU; K3 ;BA74, BA78, BA79;2016; 40,09 ; 3.252,00 ; 1.908 ;; 1.344 ; Damimas ;;; 48 
4;TPN;TALUMOPATU;TALUMOPATU; K4 ;BB68, BB69, BC68, BC69, BC70, BC75;2016; 42,46 ; 1.955,00 ; 1.711 ;; 244 ; Damimas ;;; 40 
5;TPN;TALUMOPATU;TALUMOPATU; L1 ;BE76, BE77, BD77, BD79;2016; 40,25 ; 2.170,00 ; 1.940 ;; 230 ; D x P Socfindo  ;;; 48 
6;TPN;TALUMOPATU;TALUMOPATU; L2 ;BD74, BD75, BD76, BD78;2016; 50,46 ; 4.553,00 ; 2.170 ;; 2.383 ; D x P Socfindo  ;;; 43 
7;TPN;TALUMOPATU;TALUMOPATU; N1 ;BC58, BC59, BC60;2016; 15,17 ; 1.900,00 ; 984 ;; 916 ; Damimas ;;; 65 
8;TPN;TALUMOPATU;TALUMOPATU; N2 ;BF53, BF55, BF56, BF57;2016; 48,62 ; 6.320,00 ; 2.039 ;; 4.281 ; Damimas ;;; 42 
9;TPN;TALUMOPATU;TALUMOPATU; N3 ;BF58, BF60, BF61, BF62, BE62;2016; 51,24 ; 5.973,00 ; 2.256 ;; 3.717 ; Damimas ;;; 44 
10;TPN;TALUMOPATU;TALUMOPATU; N4 ;BE56, BE57, BE58, BE59;2016; 44,20 ; 5.881,00 ; 2.427 ;; 3.454 ; Damimas ;;; 55 
11;TPN;TALUMOPATU;TALUMOPATU; N5 ;BD60, BD61, BD62, BE60;2016; 20,06 ; 2.536,00 ; 1.655 ;; 881 ; Damimas ;;; 82 
12;TPN;TALUMOPATU;BUKIT AREN; M1 ;BI60, BJ58;2016; 25,65 ; 2.881,00 ; 1.689 ;; 1.192 ; Damimas ;;; 66 
13;TPN;TALUMOPATU;BUKIT AREN; M2 ;BJ59, BJ60;2015; 29,46 ; 3.524,00 ; 2.111 ;; 1.413 ; Damimas ;;; 72 
14;TPN;TALUMOPATU;BUKIT AREN; M3 ;BJ61, BJ62;2016; 13,93 ; 1.554,00 ; 850 ;; 704 ; Damimas ;;; 61 
15;TPN;TALUMOPATU;BUKIT AREN; M4 ;BK60;2017; 5,14 ; 436,00 ; 378 ;; 58 ; Damimas ;;; 74 
16;TPN;TALUMOPATU;BUKIT AREN; M5 ;BK61;2016; 8,58 ; 791,00 ; 578 ;; 213 ; Damimas ;;; 67 
17;TPN;TALUMOPATU;BUKIT AREN; M6 ;BK54;2016; 9,45 ; 1.280,00 ; 847 ;; 433 ; Damimas ;;; 90 
18;TPN;TALUMOPATU;BUKIT AREN; M7 ;BK55, BK57, BK58;2015; 31,50 ; 3.544,00 ; 2.922 ;; 622 ; Damimas ;;; 93 
19;TPN;TALUMOPATU;BUKIT AREN; M8 ;BL58, BL59;2015; 13,01 ; 1.538,00 ; 1.101 ;; 437 ; Damimas ;;; 85 
20;TPN;TALUMOPATU;BUKIT AREN; M9 ;BL60, BL61;2016; 26,50 ; 2.528,00 ; 1.850 ;; 678 ; Damimas ;;; 70 
21;TPN;TALUMOPATU;BUKIT AREN; M10 ;BL62;2015; 6,21 ; 824,00 ; 547 ;; 277 ; Damimas ;;; 88 
22;TPN;TALUMOPATU;BUKIT AREN; M11 ;BL63;2015; 8,55 ; 1.151,00 ; 859,00 ;; 292 ; Damimas ;;; 101 
23;TPN;TALUMOPATU;BUKIT AREN; M12 ;BL54, BL55;2015; 17,29 ; 2.069,00 ; 1.763,00 ;; 306 ; Damimas ;;; 102 
24;TPN;TALUMOPATU;BUKIT AREN; M13 ;BL56, BM56;2016; 25,13 ; 3.313,00 ; 1.926,00 ;; 1.387 ; Damimas ;;; 77 
25;TPN;TALUMOPATU;BUKIT AREN; M14 ;BM59;2017; 9,78 ; 348,00 ; 572,00 ;; (224); Damimas ;;; 58 
26;APK;TALUMOPATU;BUKIT AREN; O1 ;BZ62, CA62, CA63;2015; 28,54 ; 3.710,00 ; 2.702,00 ;; 1.008 ; Damimas ;;; 95 
